SYMBOL,DATE,TIME,PRICE,SIZE,G127,CORR,COND,EX
MSFT,20050310,8:00:00,25.41,656,0,0,T,P
MSFT,20050310,8:01:01,25.36,125,0,0,T,C
MSFT,20050310,8:01:01,25.36,219,0,0,T,C
MSFT,20050310,8:01:01,25.36,1000,0,0,T,C
MSFT,20050310,8:01:15,25.36,1000,0,0,T,C
MSFT,20050310,8:02:20,25.32,500,0,0,T,P
MSFT,20050310,8:02:20,25.33,500,0,0,T,C
MSFT,20050310,8:03:07,25.33,150,0,0,T,T
MSFT,20050310,8:06:05,25.36,100,0,0,T,C
MSFT,20050310,8:06:08,25.37,156,0,0,T,P
MSFT,20050310,8:06:37,25.36,200,0,0,T,C
MSFT,20050310,8:06:54,25.36,200,0,0,T,C
MSFT,20050310,8:09:26,25.36,1000,0,0,T,C
MSFT,20050310,8:10:12,25.36,1800,0,0,T,C
MSFT,20050310,8:11:01,25.37,144,0,0,T,P
MSFT,20050310,8:14:34,25.37,200,0,0,T,P
MSFT,20050310,8:23:11,25.38,100,0,0,T,P
MSFT,20050310,8:23:12,25.4,500,0,0,T,P
MSFT,20050310,8:23:13,25.4,500,0,0,T,T
MSFT,20050310,8:23:14,25.4,500,0,0,T,C
MSFT,20050310,8:23:47,25.4,100,0,0,T,C
MSFT,20050310,8:24:07,25.41,900,0,0,T,P
MSFT,20050310,8:24:16,25.41,900,0,0,T,P
MSFT,20050310,8:26:29,25.4,1000,0,0,T,C
MSFT,20050310,8:26:30,25.4,4000,0,0,T,C
MSFT,20050310,8:26:56,25.4,300,0,0,T,C
MSFT,20050310,8:27:32,25.4,500,0,0,T,C
MSFT,20050310,8:27:48,25.4,200,0,0,T,C
MSFT,20050310,8:27:48,25.4,100,0,0,T,C
MSFT,20050310,8:28:51,25.4,100,0,0,T,C
MSFT,20050310,8:32:24,25.4,600,0,0,T,C
MSFT,20050310,8:34:18,25.4,200,0,0,T,C
MSFT,20050310,8:34:18,25.4,100,0,0,T,C
MSFT,20050310,8:34:18,25.4,1664,0,0,T,C
MSFT,20050310,8:35:11,25.4,1000,0,0,T,C
